"Order","Level","Code","Parent","Description","ICD-10 code","ICD-9 code","ICD-8 code"
"1104005","1","16.",,"Symptoms, signs, ill-defined causes","R00-R99","780-799","780-782.3, 782.5-791, 793-796"
"1104006","2","16.1","16.","Sudden infant death syndrome","R95","798.0","-"
"1104007","2","16.2","16.","Unknown and unspecified causes","R96-R99","798.1-9, 799.0,2-3,5-9","795-796"
"1104008","2","16.3","16.","Other symptoms, signs, ill-defined causes","R00-R94","780-797, 799.1, 799.4","780-782.3, 782.5-791, 793-794"
"1104009","1","17.",,"External causes of morbidity and mortality","V01-Y89","E800-E999","E800-E999"
"1104010","2","17.1","17.","Accidents","V01-X59, Y85-Y86","E800-E929","E800-E929, E940-E946"
"1104011","3","17.1.1","17.1","Transport accidents","V01-V99, Y85","E800-E848, E929.0-1","E800-E845, E940-E941"
"1104012","3","17.1.2","17.1","Accidental falls","W00-W19","E880-E888","E880-E887"
"1104013","3","17.1.3","17.1","Drowning and accidental submersion","W65-W74","E910","E910"
"1104014","3","17.1.4","17.1","Accidental poisoning","X40-X49","E850-E869","E850-E877"
"1104015","3","17.1.5","17.1","Other accidents","W20-W64, W75- X39, X50-59, Y86","E870-E879, E890-E909, E911-928, E929.2-9","E890-E909, E911-929, E942-E946"
"1104016","2","17.2","17.","Suicide and intentional self-harm","X60-X84, Y87.0","E950-E959","E950-E959"
"1104017","2","17.3","17.","Homicide, assault","X85-Y09, Y87.1","E960-E969","E960-E969"
"1104018","2","17.4","17.","Events of undetermined intent","Y10-Y34, Y87.2","E980-E989","E980-E989"
"1104019","2","17.5","17.","Other external causes of injury and poisoning","Y35-Y84, Y88-Y89","E930-E949, E970-E978, E990-E999","E930-E936, E943-E949, E970-E978, E990-E999"
